rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.36,0.2,95.75
2,2,Bayern Munich,German Bundesliga,3.27,0.35,93.71
3,3,Liverpool,Barclays Premier League,2.87,0.29,92.34
4,4,Barcelona,Spanish Primera Division,2.77,0.44,89.12
5,5,Paris Saint-Germain,French Ligue 1,2.7,0.42,88.91
6,6,Juventus,Italy Serie A,2.58,0.45,87.29
7,7,Real Madrid,Spanish Primera Division,2.56,0.52,85.83
8,10,Chelsea,Barclays Premier League,2.5,0.53,84.99
9,11,Atletico Madrid,Spanish Primera Division,2.22,0.38,84.9
10,8,Borussia Dortmund,German Bundesliga,2.55,0.59,84.44
11,13,Ajax,Dutch Eredivisie,3.01,0.89,83.89
12,14,FC Salzburg,Austrian T-Mobile Bundesliga,3.11,0.99,83.27
13,12,Tottenham Hotspur,Barclays Premier League,2.39,0.59,82.63
14,15,Napoli,Italy Serie A,2.45,0.64,82.28
15,9,RB Leipzig,German Bundesliga,2.3,0.6,81.42
16,16,Manchester United,Barclays Premier League,2.12,0.49,81.27
17,17,Bayer Leverkusen,German Bundesliga,2.3,0.61,81.11
18,19,Arsenal,Barclays Premier League,2.48,0.75,80.35
19,18,Internazionale,Italy Serie A,2.25,0.62,80.21
20,22,Leicester City,Barclays Premier League,2.03,0.53,79.2
21,21,Sevilla FC,Spanish Primera Division,2.08,0.6,78.4
22,20,FC Porto,Portuguese Liga,2.18,0.66,78.36
23,25,Everton,Barclays Premier League,2.01,0.62,76.75
24,24,Real Sociedad,Spanish Primera Division,2.07,0.67,76.33
25,23,Benfica,Portuguese Liga,2.23,0.8,76.01
26,27,Zenit St Petersburg,Russian Premier Liga,2.03,0.68,75.7
27,26,Athletic Bilbao,Spanish Primera Division,1.8,0.53,75.44
28,30,Getafe,Spanish Primera Division,1.88,0.61,74.87
29,33,PSV,Dutch Eredivisie,2.35,0.95,74.54
30,31,Valencia,Spanish Primera Division,2.13,0.8,74.32
31,29,Olympiacos,Greek Super League,2.19,0.85,74.3
32,35,Villarreal,Spanish Primera Division,2.12,0.82,73.74
33,34,Eibar,Spanish Primera Division,1.87,0.66,73.46
34,39,AS Roma,Italy Serie A,2.1,0.83,73.31
35,28,AC Milan,Italy Serie A,1.96,0.74,73.15
36,43,Schalke 04,German Bundesliga,2.01,0.78,72.89
37,37,Eintracht Frankfurt,German Bundesliga,2.0,0.79,72.66
38,36,Flamengo,Brasileiro Série A,1.96,0.77,72.25
39,40,Lyon,French Ligue 1,1.97,0.79,72.11
40,41,VfL Wolfsburg,German Bundesliga,1.89,0.74,71.97
41,44,Borussia Monchengladbach,German Bundesliga,2.04,0.85,71.83
42,38,Wolverhampton,Barclays Premier League,1.82,0.69,71.81
43,42,Lazio,Italy Serie A,1.97,0.81,71.62
44,32,TSG Hoffenheim,German Bundesliga,2.19,0.97,71.57
45,52,Southampton,Barclays Premier League,1.91,0.81,70.68
46,63,Club Brugge,Belgian Jupiler League,2.07,0.93,70.63
47,49,Basel,Swiss Raiffeisen Super League,2.24,1.06,70.61
48,46,Crystal Palace,Barclays Premier League,1.87,0.79,70.37
49,58,Atalanta,Italy Serie A,2.03,0.91,70.36
50,45,West Ham United,Barclays Premier League,1.96,0.87,70.0
51,48,Shakhtar Donetsk,UEFA Champions League,2.1,0.98,69.9
52,54,Burnley,Barclays Premier League,1.87,0.81,69.81
53,69,Fiorentina,Italy Serie A,1.97,0.89,69.78
54,53,FC Krasnodar,Russian Premier Liga,1.97,0.89,69.55
55,51,Lille,French Ligue 1,1.77,0.75,69.54
56,47,Young Boys,Swiss Raiffeisen Super League,2.25,1.11,69.52
57,60,CSKA Moscow,Russian Premier Liga,1.83,0.81,69.27
58,57,Osasuna,Spanish Primera Division,1.72,0.72,69.25
59,56,Granada,Spanish Primera Division,1.76,0.75,69.13
60,62,Werder Bremen,German Bundesliga,2.02,0.95,69.09
61,55,Palmeiras,Brasileiro Série A,1.7,0.71,68.99
62,50,Real Betis,Spanish Primera Division,1.93,0.91,68.7
63,59,AFC Bournemouth,Barclays Premier League,2.09,1.04,68.46
64,66,Leganes,Spanish Primera Division,1.61,0.68,68.09
65,81,Hertha Berlin,German Bundesliga,1.96,0.96,67.89
66,61,River Plate,Argentina Primera Division,1.85,0.88,67.86
67,65,Leeds United,English League Championship,1.78,0.83,67.62
68,77,Fulham,English League Championship,1.83,0.89,67.12
69,72,PAOK Salonika,Greek Super League,2.05,1.06,67.11
70,68,Dinamo Zagreb,UEFA Champions League,2.06,1.08,66.87
71,74,Celta Vigo,Spanish Primera Division,1.81,0.89,66.63
72,67,Celtic,Scottish Premiership,1.88,0.95,66.58
73,70,Espanyol,Spanish Primera Division,1.76,0.86,66.52
74,80,Ludogorets,UEFA Europa League,1.82,0.92,66.11
75,78,Watford,Barclays Premier League,1.95,1.04,65.89
76,64,Newcastle,Barclays Premier League,1.69,0.83,65.84
77,73,Brighton and Hove Albion,Barclays Premier League,1.69,0.83,65.79
78,82,Sheffield United,Barclays Premier League,1.68,0.83,65.49
79,79,Dynamo Kiev,UEFA Europa League,1.86,0.98,65.46
80,76,Lokomotiv Moscow,Russian Premier Liga,1.74,0.9,65.23
81,91,Alavés,Spanish Primera Division,1.59,0.78,65.02
82,75,Galatasaray,Turkish Turkcell Super Lig,1.87,1.02,64.75
83,84,Levante,Spanish Primera Division,1.94,1.08,64.72
84,99,AS Monaco,French Ligue 1,1.83,1.0,64.62
85,83,Angers,French Ligue 1,1.65,0.85,64.58
86,86,Mainz,German Bundesliga,1.92,1.07,64.54
87,89,Montpellier,French Ligue 1,1.53,0.75,64.5
88,98,Real Valladolid,Spanish Primera Division,1.66,0.86,64.35
89,87,Sporting CP,Portuguese Liga,1.78,0.96,64.34
90,104,Rangers,Scottish Premiership,1.97,1.12,64.27
91,90,Bologna,Italy Serie A,1.71,0.91,64.17
92,85,Aston Villa,Barclays Premier League,1.73,0.93,64.12
93,92,SC Freiburg,German Bundesliga,1.82,1.01,64.0
94,71,Marseille,French Ligue 1,1.67,0.89,64.0
95,97,Nantes,French Ligue 1,1.54,0.78,63.95
96,88,Grêmio,Brasileiro Série A,1.69,0.91,63.9
97,108,LASK Linz,Austrian T-Mobile Bundesliga,1.77,0.98,63.77
98,93,Norwich City,Barclays Premier League,1.76,0.99,63.19
99,106,Red Star Belgrade,UEFA Champions League,2.04,1.25,62.82
100,96,Boca Juniors,Argentina Primera Division,1.51,0.83,62.04
101,95,FC Copenhagen,Danish SAS-Ligaen,1.84,1.12,61.94
102,100,Mallorca,Spanish Primera Division,1.66,0.97,61.7
103,107,Slavia Prague,UEFA Champions League,1.84,1.14,61.52
104,110,Guangzhou Evergrande,Chinese Super League,1.84,1.14,61.42
105,102,Genk,Belgian Jupiler League,1.88,1.18,61.36
106,94,FC Cologne,German Bundesliga,1.65,0.98,61.25
107,101,Fortuna Düsseldorf,German Bundesliga,1.85,1.16,61.18
108,112,Los Angeles FC,Major League Soccer,2.04,1.34,60.78
109,105,Torino,Italy Serie A,1.74,1.08,60.77
110,103,Reims,French Ligue 1,1.44,0.82,60.68
111,123,Stade Rennes,French Ligue 1,1.53,0.91,60.61
112,113,Santos,Brasileiro Série A,1.56,0.93,60.57
113,126,AZ,Dutch Eredivisie,1.72,1.09,60.09
114,114,Sampdoria,Italy Serie A,1.66,1.05,59.91
115,115,Udinese,Italy Serie A,1.53,0.93,59.82
116,116,Malmo FF,Swedish Allsvenskan,1.49,0.91,59.65
117,120,St Etienne,French Ligue 1,1.56,0.97,59.61
118,109,Sassuolo,Italy Serie A,1.68,1.08,59.57
119,117,Nice,French Ligue 1,1.53,0.95,59.48
120,119,Beijing Guoan,Chinese Super League,1.74,1.14,59.42
121,111,FC Midtjylland,Danish SAS-Ligaen,1.61,1.02,59.38
122,122,Nimes,French Ligue 1,1.57,0.99,59.3
123,136,West Bromwich Albion,English League Championship,1.63,1.05,59.11
124,118,FC Augsburg,German Bundesliga,1.78,1.21,58.7
125,121,Cagliari,Italy Serie A,1.62,1.06,58.69
126,127,Strasbourg,French Ligue 1,1.48,0.94,58.51
127,137,Parma,Italy Serie A,1.57,1.05,57.94
128,125,Genoa,Italy Serie A,1.65,1.12,57.85
129,133,Apoel Nicosia,UEFA Europa League,1.63,1.1,57.84
130,141,Brentford,English League Championship,1.49,0.98,57.81
131,145,Club América,Mexican Primera Division Torneo Apertura,1.56,1.05,57.8
132,135,Shanghai SIPG,Chinese Super League,1.68,1.15,57.79
133,124,Bordeaux,French Ligue 1,1.44,0.94,57.56
134,134,Braga,Portuguese Liga,1.56,1.06,57.52
135,150,Trabzonspor,Turkish Turkcell Super Lig,1.78,1.26,57.47
136,139,SC Paderborn,German Bundesliga,1.65,1.14,57.41
137,138,São Paulo,Brasileiro Série A,1.31,0.83,57.41
138,129,Atlético Paranaense,Brasileiro Série A,1.48,0.99,57.23
139,131,1. FC Union Berlin,German Bundesliga,1.57,1.08,57.2
140,128,Besiktas,Turkish Turkcell Super Lig,1.93,1.41,57.05
141,143,Brescia,Italy Serie A,1.57,1.09,57.02
142,144,Tigres UANL,Mexican Primera Division Torneo Apertura,1.44,0.97,57.01
143,146,Bahía,Brasileiro Série A,1.3,0.85,56.62
144,161,Amiens,French Ligue 1,1.42,0.96,56.47
145,142,Corinthians,Brasileiro Série A,1.23,0.8,56.34
146,162,Feyenoord,Dutch Eredivisie,1.87,1.4,56.21
147,132,FC Astana,UEFA Europa League,1.62,1.17,56.19
148,149,Guimaraes,Portuguese Liga,1.45,1.01,56.12
149,175,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.5,1.05,56.12
150,130,Standard Liege,Belgian Jupiler League,1.69,1.24,55.93
151,148,Internacional,Brasileiro Série A,1.4,0.97,55.88
152,154,Toulouse,French Ligue 1,1.5,1.08,55.61
153,151,Verona,Italy Serie A,1.48,1.06,55.61
154,140,Fenerbahce,Turkish Turkcell Super Lig,1.58,1.15,55.47
155,155,Cruz Azul,Mexican Primera Division Torneo Apertura,1.43,1.02,55.46
156,156,KAA Gent,Belgian Jupiler League,1.66,1.25,55.19
157,158,AEK Athens,Greek Super League,1.5,1.12,54.74
158,152,Monterrey,Mexican Primera Division Torneo Apertura,1.52,1.15,54.39
159,153,Santos Laguna,Mexican Primera Division Torneo Apertura,1.64,1.26,54.27
160,147,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.66,1.29,54.2
161,171,Dijon FCO,French Ligue 1,1.37,1.02,54.03
162,163,Vitesse,Dutch Eredivisie,1.87,1.51,53.87
163,160,Atletico Mineiro,Brasileiro Série A,1.49,1.16,53.34
164,174,Cardiff City,English League Championship,1.45,1.13,53.33
165,185,Rostov,Russian Premier Liga,1.35,1.03,53.32
166,157,Spartak Moscow,Russian Premier Liga,1.38,1.06,53.25
167,173,IFK Norrkoping,Swedish Allsvenskan,1.46,1.15,53.02
168,164,Molde,Norwegian Tippeligaen,1.83,1.51,52.99
169,159,Lecce,Italy Serie A,1.5,1.18,52.99
170,176,Bristol City,English League Championship,1.51,1.21,52.73
171,178,Swansea City,English League Championship,1.47,1.18,52.43
172,167,Metz,French Ligue 1,1.42,1.13,52.42
173,165,León,Mexican Primera Division Torneo Apertura,1.58,1.29,52.41
174,177,Spal,Italy Serie A,1.49,1.21,52.41
175,168,Kashima Antlers,Japanese J League,1.52,1.23,52.4
176,166,Rapid Vienna,Austrian T-Mobile Bundesliga,1.62,1.33,52.39
177,187,Hammarby,Swedish Allsvenskan,1.97,1.69,52.08
178,172,Pachuca,Mexican Primera Division Torneo Apertura,1.63,1.37,51.88
179,179,Rio Ave,Portuguese Liga,1.52,1.27,51.68
180,180,Nottingham Forest,English League Championship,1.36,1.11,51.46
181,182,VfB Stuttgart,German 2. Bundesliga,1.55,1.31,51.31
182,170,Racing Club,Argentina Primera Division,1.36,1.12,51.22
183,199,FK Qarabag,UEFA Europa League,1.41,1.18,51.14
184,169,Brest,French Ligue 1,1.42,1.2,50.98
185,197,FK Partizan Belgrade,UEFA Europa League,1.47,1.24,50.94
186,200,Vasco da Gama,Brasileiro Série A,1.3,1.07,50.92
187,184,Djurgardens IF,Swedish Allsvenskan,1.32,1.1,50.9
188,183,Ferencvaros,UEFA Europa League,1.51,1.29,50.9
189,181,FC Arsenal Tula,Russian Premier Liga,1.37,1.15,50.86
190,186,Huddersfield Town,English League Championship,1.41,1.21,50.4
191,188,Stoke City,English League Championship,1.3,1.1,50.29
192,204,Sheffield Wednesday,English League Championship,1.35,1.16,50.15
193,189,Velez Sarsfield,Argentina Primera Division,1.3,1.1,50.13
194,191,Jiangsu Suning FC,Chinese Super League,1.45,1.27,49.86
195,190,Preston North End,English League Championship,1.34,1.16,49.86
196,196,Cruzeiro,Brasileiro Série A,1.27,1.09,49.81
197,192,Girona FC,Spanish Segunda Division,1.4,1.23,49.54
198,195,Shandong Luneng,Chinese Super League,1.57,1.41,49.47
199,205,CA Independiente,Argentina Primera Division,1.32,1.16,49.32
200,215,Gazovik Orenburg,Russian Premier Liga,1.48,1.33,49.11
201,203,Atlanta United FC,Major League Soccer,1.53,1.41,48.61
202,194,Brondby,Danish SAS-Ligaen,1.68,1.57,48.52
203,209,Fluminense,Brasileiro Série A,1.36,1.24,48.48
204,210,FC Ufa,Russian Premier Liga,1.09,0.96,48.42
205,218,AGF Aarhus,Danish SAS-Ligaen,1.36,1.25,48.39
206,206,Hamburg SV,German 2. Bundesliga,1.39,1.28,48.29
207,207,Blackburn,English League Championship,1.33,1.22,48.2
208,202,AIK,Swedish Allsvenskan,1.24,1.12,48.18
209,214,Anderlecht,Belgian Jupiler League,1.29,1.18,48.18
210,217,FC Utrecht,Dutch Eredivisie,1.62,1.52,48.17
211,198,Derby County,English League Championship,1.41,1.32,47.85
212,211,New York City FC,Major League Soccer,1.52,1.44,47.8
213,212,Ceará,Brasileiro Série A,1.17,1.07,47.7
214,201,Kawasaki Frontale,Japanese J League,1.35,1.27,47.59
215,193,Queens Park Rangers,English League Championship,1.37,1.29,47.38
216,216,Antwerp,Belgian Jupiler League,1.4,1.33,47.24
217,222,Newell's Old Boys,Argentina Primera Division,1.19,1.12,47.15
218,226,Pumas Unam,Mexican Primera Division Torneo Apertura,1.26,1.2,46.96
219,260,St Gallen,Swiss Raiffeisen Super League,1.53,1.5,46.68
220,229,Yokohama F. Marinos,Japanese J League,1.53,1.5,46.53
221,223,Necaxa,Mexican Primera Division Torneo Apertura,1.39,1.36,46.53
222,245,Birmingham,English League Championship,1.25,1.2,46.52
223,221,Alanyaspor,Turkish Turkcell Super Lig,1.37,1.35,46.37
224,227,Hull City,English League Championship,1.37,1.34,46.36
225,241,Sochi,Russian Premier Liga,1.24,1.2,46.29
226,208,Dinamo Moscow,Russian Premier Liga,1.08,1.04,46.13
227,224,Portimonense,Portuguese Liga,1.26,1.24,46.07
228,228,Philadelphia Union,Major League Soccer,1.49,1.49,45.98
229,246,Santa Clara,Portuguese Liga,1.2,1.18,45.86
230,232,Banfield,Argentina Primera Division,1.15,1.13,45.84
231,242,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.29,1.28,45.84
232,219,Rayo Vallecano,Spanish Segunda Division,1.36,1.37,45.65
233,230,CFR 1907 Cluj,UEFA Europa League,1.42,1.44,45.51
234,231,Mouscron-Peruwelz,Belgian Jupiler League,1.25,1.26,45.28
235,233,Famalicao,Portuguese Liga,1.34,1.36,45.27
236,220,Aris Salonika,Greek Super League,1.45,1.48,45.26
237,252,Slovan Bratislava,UEFA Europa League,1.25,1.26,45.24
238,235,San Lorenzo,Argentina Primera Division,1.18,1.19,45.18
239,240,Millwall,English League Championship,1.19,1.2,45.16
240,258,St. Truidense,Belgian Jupiler League,1.3,1.32,45.16
241,238,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.49,1.53,45.14
242,269,Odense BK,Danish SAS-Ligaen,1.22,1.25,44.92
243,247,Sivasspor,Turkish Turkcell Super Lig,1.45,1.5,44.8
244,250,Lanus,Argentina Primera Division,1.21,1.25,44.59
245,267,FC Sion,Swiss Raiffeisen Super League,1.34,1.4,44.55
246,213,Middlesbrough,English League Championship,1.25,1.3,44.54
247,239,Lorient,French Ligue 2,1.26,1.31,44.44
248,243,BK Hacken,Swedish Allsvenskan,1.24,1.29,44.36
249,248,Tijuana,Mexican Primera Division Torneo Apertura,1.37,1.43,44.34
250,234,Arizona United,United Soccer League,1.55,1.63,44.33
251,253,Defensa y Justicia,Argentina Primera Division,1.08,1.12,44.27
252,249,Boavista,Portuguese Liga,1.05,1.09,44.2
253,281,Cerezo Osaka,Japanese J League,1.07,1.12,43.95
254,251,Querétaro,Mexican Primera Division Torneo Apertura,1.27,1.34,43.92
255,264,PFC Oleksandriya,UEFA Europa League,1.29,1.37,43.89
256,225,ADO Den Haag,Dutch Eredivisie,1.56,1.67,43.71
257,270,Fortaleza,Brasileiro Série A,1.21,1.29,43.68
258,279,Toronto FC,Major League Soccer,1.47,1.58,43.62
259,265,New York Red Bulls,Major League Soccer,1.43,1.54,43.51
260,262,Moreirense,Portuguese Liga,1.15,1.23,43.39
261,305,Guingamp,French Ligue 2,1.35,1.46,43.36
262,236,Ural Sverdlovsk Oblast,Russian Premier Liga,1.38,1.5,43.33
263,271,Perth Glory,Australian A-League,1.36,1.47,43.32
264,302,Sanfrecce Hiroshima,Japanese J League,1.18,1.27,43.2
265,244,Terek Grozny,Russian Premier Liga,1.04,1.12,43.13
266,237,FC Nordsjaelland,Danish SAS-Ligaen,1.43,1.56,43.08
267,268,Chicago Fire,Major League Soccer,1.37,1.49,43.06
268,283,Konyaspor,Turkish Turkcell Super Lig,1.08,1.17,42.92
269,290,Krylia Sovetov,Russian Premier Liga,1.24,1.35,42.92
270,277,Botafogo,Brasileiro Série A,1.11,1.22,42.82
271,259,FC Luzern,Swiss Raiffeisen Super League,1.29,1.42,42.79
272,284,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.49,1.65,42.71
273,256,Talleres de Córdoba,Argentina Primera Division,1.1,1.21,42.61
274,276,Rosenborg,Norwegian Tippeligaen,1.35,1.49,42.61
275,257,Guadalajara,Mexican Primera Division Torneo Apertura,1.21,1.34,42.61
276,275,Argentinos Juniors,Argentina Primera Division,1.04,1.14,42.6
277,288,SV Zulte Waregem,Belgian Jupiler League,1.45,1.61,42.55
278,298,FC Groningen,Dutch Eredivisie,1.14,1.26,42.53
279,278,Pacos Ferreira,Portuguese Liga,1.2,1.33,42.28
280,266,Gil Vicente,Portuguese Liga,1.15,1.29,42.26
281,274,KV Kortrijk,Belgian Jupiler League,1.38,1.55,42.2
282,263,Los Angeles Galaxy,Major League Soccer,1.71,1.93,42.04
283,273,Toluca,Mexican Primera Division Torneo Apertura,1.19,1.34,41.99
284,286,Sparta,Dutch Eredivisie,1.37,1.55,41.99
285,280,Reading,English League Championship,1.19,1.34,41.86
286,295,Chapecoense AF,Brasileiro Série A,1.08,1.23,41.8
287,326,Randers FC,Danish SAS-Ligaen,1.22,1.39,41.75
288,294,Vitoria Setubal,Portuguese Liga,0.97,1.1,41.73
289,297,Atromitos,Greek Super League,1.18,1.34,41.68
290,292,Wigan,English League Championship,1.17,1.34,41.61
291,285,Morelia,Mexican Primera Division Torneo Apertura,1.23,1.41,41.54
292,324,Heerenveen,Dutch Eredivisie,1.43,1.64,41.5
293,272,FC Lugano,Swiss Raiffeisen Super League,1.11,1.27,41.48
294,289,Sporting de Charleroi,Belgian Jupiler League,1.31,1.51,41.42
295,301,Union Santa Fe,Argentina Primera Division,1.07,1.23,41.38
296,308,Arsenal Sarandi,Argentina Primera Division,1.18,1.36,41.27
297,319,Rosario Central,Argentina Primera Division,1.02,1.18,41.18
298,261,Almeria,Spanish Segunda Division,1.16,1.34,41.12
299,255,Troyes,French Ligue 2,1.09,1.26,41.09
300,254,Caykur Rizespor,Turkish Turkcell Super Lig,1.26,1.47,40.83
301,299,San Jose Earthquakes,Major League Soccer,1.42,1.66,40.81
302,296,Goiás,Brasileiro Série A,1.1,1.29,40.73
303,303,Rubin Kazan,Russian Premier Liga,0.93,1.1,40.7
304,291,Estudiantes,Argentina Primera Division,1.02,1.2,40.65
305,307,Seattle Sounders FC,Major League Soccer,1.32,1.55,40.61
306,316,Portland Timbers,Major League Soccer,1.42,1.69,40.29
307,282,Hannover 96,German 2. Bundesliga,1.24,1.48,40.25
308,314,Atlas,Mexican Primera Division Torneo Apertura,1.11,1.32,40.22
309,311,Belenenses,Portuguese Liga,1.09,1.32,40.07
310,304,Desportivo Aves,Portuguese Liga,1.18,1.41,40.04
311,312,Dalian Aerbin,Chinese Super League,1.32,1.59,39.93
312,309,Sporting Kansas City,Major League Soccer,1.4,1.69,39.93
313,287,FC Tokyo,Japanese J League,1.01,1.22,39.92
314,313,Mamelodi Sundowns,South African ABSA Premier League,1.13,1.37,39.8
315,330,Puebla,Mexican Primera Division Torneo Apertura,1.15,1.4,39.78
316,339,Cadiz,Spanish Segunda Division,1.06,1.29,39.78
317,315,Empoli,Italy Serie B,1.21,1.47,39.64
